name,rating,pieces,minifigs,ownthisset
Prison Island Starter Set,4.3,92,4,3257  
Police Pursuit,4.0,184,2,3164  
Police Patrol Boat,4.0,200,4,2059  
Prison Island,4.5,754,8,3155  
Crooks Island,5.0,244,3,1421  
Service Station,4.0,515,4,3715  
City Advent Calendar,3.0,290,7,4042  
People Pack - Fun in the Park,5.0,157,15,10283  
3-in-1 Super Pack,,,,57  
Forests Value Pack,,,,12  
Heartlake Value Pack,,,,29  
City Volcano Value Pack,,,,110  
City Fire Value Pack,,,,78  
Microfighters Super Pack 3 in 1,,,,257  
Microfighters Super Pack 3 in 1,5.0,,,181  
Mighty Micros Mighty Pack 3 in 1,,,,31  
Axl's Tower Carrier Extra Awesome Edition,,,,232  
Rock Roader Extra Awesome Edition,,,,162  
Salvage M.E.C. Extra Awesome Edition,,,,167  
Knighton Battle Blaster,4.0,76,2,2699  
Chaos Catapult,4.3,93,2,2961  
Lance's Mecha Horse,4.3,237,3,2981  
Moltor's Lava Smasher,5.0,187,2,2799  
Beast Master's Chaos Chariot,4.3,314,2,2512  
Clay's Rumble Blade,5.0,367,5,2593  
Jestro's Evil Mobile,3.5,658,2,2344  
The Fortrex,5.0,1140,7,3066  
The Glob Lobber,5.0,95,2,1773  
Macy's Thunder Mace,4.0,202,3,1562  
Aaron Fox's Aero-Striker V2,,301,3,1689  
General Magmar's Siege Machine of Doom,4.0,516,3,1958  
Axl's Tower Carrier,4.0,670,4,1556  
Jestro's Volcano Lair,4.0,1186,10,2047  
Merlok's Library 2.0,3.7,288,3,1771  
Infernox captures the Queen,5.0,253,2,1860  
The Black Knight Mech,5.0,530,4,1126  
The King's Mech,5.0,375,3,2204  
Ultimate Clay,4.3,72,1,3323  
Ultimate Macy,4.3,101,1,3479  
Ultimate Aaron,4.5,82,1,3263  
Ultimate Robin,4.0,75,1,2762  
Ultimate Beast Master,3.7,65,1,2716  
Ultimate Lavaria,4.0,69,1,4246  
Ultimate Axl,4.0,69,1,2520  
Ultimate Lance,3.5,75,1,2285  
Ultimate General Magmar,3.0,64,1,2009  
Ultimate Flama,2.0,67,1,2359  
Titanium Ninja Tumbler ,,342,3,1457  
Rock Roader,4.5,406,4,1353  
Airjitzu Battle Grounds,,666,5,630  
Kryptarium Prison Breakout,5.0,207,5,2161  
Salvage M.E.C.,5.0,439,4,1756  
The Green NRG Dragon,5.0,567,5,1834  
The Lighthouse Siege,5.0,767,8,2073  
Ultra Stealth Raider,,1093,7,1407  
Samurai X Cave Chaos,4.0,1253,8,752  
Cole's Dragon,4.3,98,2,2610  
Ninja Bike Chase,5.0,231,3,2217  
Sky Shark,5.0,221,2,2424  
Jay's Elemental Dragon,4.0,350,2,2270  
Raid Zeppelin,4.8,294,3,2992  
Tiger Widow Island,4.6,450,5,2183  
Misfortune's Keep,5.0,754,6,1791  
LEGO Minifigures - Series 15 {Random bag},,,,787  
Farmer,4.3,1,1,7004  
Astronaut,4.7,1,1,7258  
Frightening Knight,4.8,1,1,6844  
Clumsy Guy,5.0,1,1,8153  
Tribal Woman,4.5,2,2,6613  
Flying Warrior,5.0,1,1,7318  
Faun,4.5,1,1,7201  
Animal Control Officer,3.5,1,1,7119  
Janitor,4.5,1,1,7318  
Ballerina,3.5,1,1,5971  
Laser Mech,4.0,1,1,5905  
Kendo Fighter,3.7,1,1,6795  
Shark Suit Guy,5.0,1,1,8718  
Wrestling Champion,2.0,1,1,6190  
Jewel Thief,4.0,1,1,6207  
Queen,4.0,1,1,7229  
LEGO Minifigures - Series 15 - Complete,,17,17,3570  
LEGO Minifigures - Series 15 - Sealed Box,,,,440  
LEGO Minifigures - The Disney Series {Random bag},5.0,,,807  
Stitch,4.5,1,1,6918  
Alien,4.0,1,1,6661  
Buzz Lightyear,5.0,1,1,6524  
Aladdin,4.0,1,1,6070  
Genie,3.0,1,1,6731  
Maleficent,5.0,1,1,6615  
Alice,4.0,1,1,6261  
Cheshire Cat,3.0,1,1,6036  
Daisy Duck,4.0,1,1,5843  
Donald Duck,4.5,1,1,6132  
Minnie Mouse,4.0,1,1,6019  
Mickey Mouse,3.0,1,1,6717  
Mr. Incredible,5.0,1,1,6510  
Syndrome,4.0,1,1,6662  
Peter Pan,4.0,1,1,6068  
Captain Hook,4.0,1,1,6287  
Ursula,3.5,1,1,6406  
Ariel,4.5,1,1,6297  
LEGO Minifigures - The Disney Series - Complete,5.0,18,18,4142  
LEGO Minifigures - The Disney Series - Sealed Box,,,,489  
LEGO Minifigures - Series 16 {Random bag},5.0,,,663  
Ice Queen,4.7,1,1,6094  
Desert Warrior,4.5,1,1,5625  
Cyborg,5.0,1,1,5196  
Cute Little Devil,4.2,1,1,6717  
Spooky Boy,3.5,1,1,6116  
Hiker,4.3,1,1,7094  
Wildlife Photographer,5.0,1,1,6144  
Kickboxer,5.0,1,1,5380  
Scallywag Pirate,3.5,1,1,5104  
Penguin Boy,5.0,1,1,6170  
Rogue,4.7,1,1,6634  
Dog Show Winner,4.0,1,1,6303  
Mariachi,5.0,1,1,7181  
Spy,5.0,1,1,6395  
Banana Guy,5.0,1,1,8232  
Babysitter,5.0,2,2,6130  
LEGO Minifigures - Series 16 - Complete,,17,17,3062  
LEGO Minifigures - Series 16 - Sealed Box,,,,310  
LEGO Minifigures - DFB Series {Random bag},,,,313  
Joachim Löw,,1,1,1106  
Manuel Neuer,,1,1,1058  
Jérôme Boateng,,1,1,1050  
Mats Hummels,,1,1,1047  
Benedikt Höwedes,,1,1,1047  
Shkodran Mustafi,,1,1,1146  
Bastian Schweinsteiger,,1,1,1207  
Mesut Özil,,1,1,1182  
Thomas Müller,,1,1,1167  
Toni Kroos,,1,1,1220  
Sami Khedira,,1,1,1238  
André Schürrle,,1,1,1245  
Marco Reus,,1,1,1132  
Christoph Kramer,,1,1,1037  
Mario Götze,,1,1,1147  
Max Kruse,,1,1,1034  
LEGO Minifigures - DFB Series - Complete,,16,16,1405  
LEGO Minifigures - DFB Series - Sealed Box,,,,203  
Disney Castle,5.0,4080,7,6945  
Ghostbusters Level Pack,4.7,115,1,5394  
DC Comics Team Pack,4.0,92,2,3686  
Doc Brown Fun Pack,5.0,69,1,5917  
Stay Puft Fun Pack,4.3,65,1,6214  
Sensei Wu Fun Pack,4.0,58,1,3282  
Midway Arcade Level Pack,4.5,96,1,4470  
Superman Fun Pack,3.0,48,1,3677  
Aquaman Fun Pack,4.0,43,1,3979  
Cyberman Fun Pack,4.8,40,1,5908  
Lloyd Fun Pack,3.0,56,1,2451  
Bane Fun Pack,3.0,52,1,3457  
Slimer Fun Pack,4.7,33,1,4720  
New Ghostbusters: Play the Complete Movie,3.8,259,1,3839  
Sonic the Hedgehog Level Pack,4.7,101,1,4239  
Adventure Time Level Pack,4.0,102,1,3619  
Adventure Time Team Pack ,4.0,96,2,3270  
Harry Potter Team Pack,4.0,119,2,4477  
Mission Impossible Level Pack,4.0,76,1,4087  
B.A. Baracus Fun Pack,3.0,73,1,5290  
Fantastic Beasts and Where to Find Them: Play the Complete Movie,4.0,261,1,4592  
Gremlins Team Pack,4.5,94,2,4785  
Tina Goldstein Fun Pack,3.0,51,1,4160  
E.T. Fun Pack,4.0,42,1,5265  
Marceline the Vampire Queen Fun Pack,4.0,60,1,2937  
Uxar - Creature of Jungle,4.0,89,,857  
Ketar - Creature of Stone,3.0,80,,679  
Akida - Creature of Water,5.0,120,,764  
Ikir - Creature of Fire,4.0,77,,798  
Terak - Creature of Earth,,74,,708  
Lewa - Uniter of Jungle,4.0,79,,764  
